product_name,brand,name_kr,name_gb,link_kr,link_gb
1_roundlab,ROUND LAB,자작나무 수분 선크림,Birch Juice Moisturizing Sunscreen,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149135,https://global.oliveyoung.com/product/detail?prdtNo=GA210004685
2_boj_rice,Beauty of Joseon,맑은쌀 선크림,Relief Sun: Rice + Probiotics,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224657,https://global.oliveyoung.com/product/detail?prdtNo=GA260338435
3_boj_aqua,Beauty of Joseon,아쿠아프레쉬 선크림,Relief Sun Aqua Fresh Rice+B5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224658,https://global.oliveyoung.com/product/detail?prdtNo=GA241227407
4_boj_tinted,Beauty of Joseon,데일리 틴티드 선세럼,Daily Tinted Fluid Sunscreen,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225573,https://global.oliveyoung.com/product/detail?prdtNo=GA251033893
5_mediheal,MEDIHEAL,마데카소사이드 수분 선세럼 흔적 리페어,Madecassoside Moisture Sun Serum Blemish Repair,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232672,https://global.oliveyoung.com/product/detail?prdtNo=GA251235653
6_skin1004,SKIN1004,마다가스카르 센텔라 히알루-시카 워터핏 선세럼,Madagascar Centella Hyalu-Cica Water-Fit Sun Serum,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215559,https://global.oliveyoung.com/product/detail?prdtNo=GA230518746
7_aestura,AESTURA,더마UV365 장벽수분 무기자차 선크림,Derma UV365 Barrier Hydro Mineral Sunscreen,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206826,https://global.oliveyoung.com/product/detail?prdtNo=GA240624151
8_dalba,d'Alba,퍼플 톤업 선크림,Waterful Tone Up Sun Cream Purple,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200614,https://global.oliveyoung.com/product/detail?prdtNo=GA240222109
9_bioheal,BIOHEAL BOH,프로바이오덤 콜라겐 선크림,Probioderm Collagen Essence Sun Cream,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202490,https://global.oliveyoung.com/product/detail?prdtNo=GA240322577
10_drg,Dr.G,레드 블레미쉬 수딩 업 선,Red Blemish Soothing Up Sun,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200635,https://global.oliveyoung.com/product/detail?prdtNo=GA240624360
